Reaction	P.Value	Pathway	adj_pval
253	R40	1	TCA Cycle	1
254	R46	1	Glycolysis	1
255	R47	1	Glycolysis	1
256	R48	1	Glycolysis	1
257	R49	1	Glycolysis	1
258	R56	1	Glycolysis	1
259	R58	1	Glycolysis	1
260	R61	1	Pentose Phosphate Pathway	1
261	R62	1	Pentose Phosphate Pathway	1
262	R63	1	Pentose Phosphate Pathway	1
263	R64	1	Pentose Phosphate Pathway	1
264	R65	1	Pentose Phosphate Pathway	1
265	R66	1	Pentose Phosphate Pathway	1
266	R67	1	Pentose Phosphate Pathway	1
267	R68	1	Pentose Phosphate Pathway	1
268	R72	1	TCA Cycle	1
269	R73	1	TCA Cycle	1
270	R74	1	TCA Cycle	1
271	R82	1	TCA Cycle	1
272	R92	1	Glutamate - Glutamine Cycle	1
273	R106	1	Asparagine Metabolism	1
274	R107	1	Histamine Metabolism	1
275	R108	1	Histamine Metabolism	1
276	R115	1	Glycine-Serine Metabolism	1
277	R117	1	Glycine-Serine Metabolism	1
278	R118	1	Glycine-Serine Metabolism	1
279	R119	1	Glycine-Serine Metabolism	1
280	R120	1	Glycine-Serine Metabolism	1
281	R121	1	Leucine Metabolism	1
282	R122	1	Leucine Metabolism	1
283	R123	1	Leucine Metabolism	1
284	R124	1	Leucine Metabolism	1
285	R125	1	Leucine Metabolism	1
286	R126	1	Leucine Metabolism	1
287	R127	1	Ketone Body Metabolism	1
288	R129	1	Leucine Metabolism	1
289	R130	1	Leucine Metabolism	1
290	R131	1	Leucine Metabolism	1
291	R132	1	Valine Metabolism	1
292	R133	1	Valine Metabolism	1
293	R134	1	Valine Metabolism	1
294	R135	1	Valine Metabolism	1
295	R136	1	Valine Metabolism	1
296	R137	1	Valine Metabolism	1
297	R138	1	Valine Metabolism	1
298	R139	1	Isoleucine Metabolism	1
299	R140	1	Isoleucine Metabolism	1
300	R141	1	Isoleucine Metabolism	1
301	R142	1	Valine Metabolism	1
302	R143	1	Valine Metabolism	1
303	R144	1	Valine Metabolism	1
304	R146	1	Isoleucine Metabolism	1
305	R147	1	Isoleucine Metabolism	1
306	R148	1	Isoleucine Metabolism	1
307	R149	1	Isoleucine Metabolism	1
308	R150	1	Isoleucine Metabolism	1
309	R154	1	Lysine Metabolism	1
310	R155	1	Lysine Metabolism	1
311	R156	1	Lysine Metabolism	1
312	R157	1	Lysine Metabolism	1
313	R158	1	Lysine Metabolism	1
314	R159	1	Lysine Metabolism	1
315	R160	1	Lysine Metabolism	1
316	R161	1	Lysine Metabolism	1
317	R162	1	Lysine Metabolism	1
318	R163	1	Lysine Metabolism	1
319	R164	1	Ketone Body Metabolism	1
320	R165	1	Phenylalanine-Tyrosine Metabolism	1
321	R166	1	Phenylalanine-Tyrosine Metabolism	1
322	R167	1	Phenylalanine-Tyrosine Metabolism	1
323	R168	1	Phenylalanine-Tyrosine Metabolism	1
324	R169	1	Phenylalanine-Tyrosine Metabolism	1
325	R170	1	Phenylalanine-Tyrosine Metabolism	1
326	R171	1	Phenylalanine-Tyrosine Metabolism	1
327	R172	1	Phenylalanine-Tyrosine Metabolism	1
328	R173	1	Phenylalanine-Tyrosine Metabolism	1
329	R174	1	Tryptophan Metabolism	1
330	R175	1	Tryptophan Metabolism	1
331	R176	1	Tryptophan Metabolism	1
332	R177	1	Tryptophan Metabolism	1
333	R178	1	Acetylcholine Metabolism	1
334	R179	1	Proline metabolism	1
335	R180	1	Proline metabolism	1
336	R181	1	Methionine Metabolism	1
337	R182	1	Methionine Metabolism	1
338	R183	1	Methionine Metabolism	1
339	R184	1	Methionine Metabolism	1
340	R185	1	Methionine Metabolism	1
341	R186	1	Methionine Metabolism	1
342	R187	1	Methionine Metabolism	1
343	R188	1	Methionine Metabolism	1
344	R189	1	Methionine Metabolism	1
345	R190	1	Methionine Metabolism	1
346	R191	1	Methionine Metabolism	1
347	R192	1	Methionine Metabolism	1
348	R193	1	Methionine Metabolism	1
349	R194	1	Methionine Metabolism	1
350	R195	1	Methionine Metabolism	1
351	R196	1	Threonine Metabolism	1
352	R197	1	Threonine Metabolism	1
353	R198	1	Threonine Metabolism	1
354	R199	1	Threonine Metabolism	1
355	R200	1	Threonine Metabolism	1
356	R201	1	Threonine Metabolism	1
357	R229	1	Cholesterol Synthesis	1
358	R230	1	Cholesterol Synthesis	1
359	R231	1	Cholesterol Synthesis	1
360	R253	1	Fatty Acid Synthesis	1
361	R254	1	Fatty Acid Synthesis	1
362	R255	1	Fatty Acid Synthesis	1
363	R256	1	Fatty Acid Synthesis	1
364	R257	1	Fatty Acid Synthesis	1
365	R258	1	Fatty Acid Synthesis	1
366	R259	1	Fatty Acid Synthesis	1
367	R260	1	Fatty Acid Synthesis	1
368	R261	1	Fatty Acid Synthesis	1
369	R262	1	Fatty Acid Synthesis	1
370	R263	1	Fatty Acid Synthesis	1
371	R264	1	Fatty Acid Synthesis	1
372	R265	1	Fatty Acid Synthesis	1
373	R266	1	Fatty Acid Synthesis	1
374	R267	1	Fatty Acid Synthesis	1
375	R268	1	Fatty Acid Synthesis	1
376	R269	1	Fatty Acid Synthesis	1
377	R270	1	Fatty Acid Synthesis	1
378	R271	1	Fatty Acid Synthesis	1
379	R272	1	Fatty Acid Synthesis	1
380	R273	1	Fatty Acid Synthesis	1
381	R274	1	Fatty Acid Synthesis	1
382	R275	1	Fatty Acid Synthesis	1
383	R276	1	Fatty Acid Synthesis	1
384	R277	1	Fatty Acid Synthesis	1
385	R278	1	Fatty Acid Synthesis	1
386	R279	1	Fatty Acid Synthesis	1
387	R280	1	Fatty Acid Synthesis	1
388	R281	1	Fatty Acid Synthesis	1
389	R283	1	Fatty Acid Synthesis	1
390	R284	1	Fatty Acid Synthesis	1
391	R285	1	Fatty Acid Synthesis	1
392	R288	1	Fatty Acid Synthesis	1
393	R289	1	Fatty Acid Synthesis	1
394	R290	1	Fatty Acid Synthesis	1
395	R291	1	Fatty Acid Synthesis	1
396	R292	1	Fatty Acid Synthesis	1
397	R293	1	Fatty Acid Synthesis	1
398	R294	1	Fatty Acid Synthesis	1
399	R295	1	Fatty Acid Synthesis	1
400	R317	1	Fatty Acid Synthesis	1
401	R343	1	Fatty Acid Synthesis	1
402	R348	1	Phosphatidylethanolamine Metabolism	1
403	R349	1	Phosphatidylethanolamine Metabolism	1
404	R350	1	Phosphatidylethanolamine Metabolism	1
405	R351	1	Phosphatidylcholine Metabolism	1
406	R352	1	Phosphatidylethanolamine Metabolism	1
407	R353	1	Phosphatidylethanolamine Metabolism	1
408	R360	1	Phosphatidylcholine Metabolism	1
409	R361	1	Phosphatidylcholine Metabolism	1
410	R362	1	Phosphatidylcholine Metabolism	1
411	R363	1	Phosphatidylcholine Metabolism	1
412	R364	1	Phosphatidylcholine Metabolism	1
413	R365	1	Phosphatidylcholine Metabolism	1
414	R366	1	Cardiolipin Metabolism	1
415	R367	1	Cardiolipin Metabolism	1
416	R368	1	Cardiolipin Metabolism	1
417	R372	1	Sphingomyelin Metabolism	1
418	R373	1	Sphingomyelin Metabolism	1
419	R374	1	Sphingomyelin Metabolism	1
420	R375	1	Sphingomyelin Metabolism	1
421	R376	1	Sphingomyelin Metabolism	1
422	R377	1	Sphingomyelin Metabolism	1
423	R383	1	Sphingomyelin Metabolism	1
424	R384	1	CDP-Diacylglycerol Biosynthesis	1
425	R385	1	CDP-Diacylglycerol Biosynthesis	1
426	R388	1	Inositol Metabolism	1
427	R389	1	Inositol Metabolism	1
428	R390	1	CDP-Diacylglycerol Biosynthesis	1
429	R391	1	Inositol Metabolism	1
430	R392	1	Inositol Metabolism	1
431	R393	1	Inositol Metabolism	1
432	R394	1	Inositol Metabolism	1
433	R395	1	Inositol Metabolism	1
434	R396	1	Inositol Metabolism	1
435	R397	1	Inositol Metabolism	1
436	R398	1	Inositol Metabolism	1
437	R399	1	Inositol Metabolism	1
438	R400	1	Inositol Metabolism	1
439	R401	1	Inositol Metabolism	1
440	R412	1	Inositol Metabolism	1
441	R413	1	Inositol Metabolism	1
442	R414	1	Inositol Metabolism	1
443	R415	1	Inositol Metabolism	1
444	R416	1	Lipid Synthesis	1
445	R418	1	Reactive Oxygen Species Pathway	1
446	R419	1	Reactive Oxygen Species Pathway	1
447	R420	1	Reactive Oxygen Species Pathway	1
448	R421	1	Reactive Oxygen Species Pathway	1
449	R422	1	Reactive Oxygen Species Pathway	1
450	R423	1	Reactive Oxygen Species Pathway	1
451	R424	1	Reactive Oxygen Species Pathway	1
452	R425	1	Reactive Oxygen Species Pathway	1
453	R426	1	Reactive Oxygen Species Pathway	1
454	R427	1	Reactive Oxygen Species Pathway	1
455	R428	1	Reactive Oxygen Species Pathway	1
456	R429	1	Reactive Oxygen Species Pathway	1
457	R430	1	Reactive Oxygen Species Pathway	1
458	R435	1	Reactive Oxygen Species Pathway	1
459	R436	1	Glycogen Degradation Metabolism	1
460	R437	1	Glycogen Degradation Metabolism	1
461	R438	1	Ketone Body Metabolism	1
462	R439	1	Ketone Body Metabolism	1
463	R440	1	Ketone Body Metabolism	1
464	R441	1	Ketone Body Metabolism	1
465	R442	1	Ketone Body Metabolism	1
466	R443	1	Ketone Body Metabolism	1
467	R444	1	Ketone Body Metabolism	1
468	R445	1	Arginine Metabolism	1
469	R446	1	Arginine Metabolism	1
470	R447	1	Arginine Metabolism	1
471	R448	1	Arginine Metabolism	1
472	R449	1	Arginine Metabolism	1
473	R450	1	Arginine Metabolism	1
474	R451	1	Arginine Metabolism	1
475	R452	1	Arginine Metabolism	1
476	R460	1	Arginine Metabolism	1
477	R461	1	Polyamine Metabolism	1
478	R462	1	Polyamine Metabolism	1
479	R463	1	Polyamine Metabolism	1
480	R464	1	Polyamine Metabolism	1
481	R465	1	Polyamine Metabolism	1
482	R466	1	Polyamine Metabolism	1
483	R467	1	Polyamine Metabolism	1
484	R468	1	Polyamine Metabolism	1
485	R469	1	Polyamine Metabolism	1
486	R470	1	Polyamine Metabolism	1
487	R471	1	Polyamine Metabolism	1
488	R472	1	Polyamine Metabolism	1
489	R473	1	Polyamine Metabolism	1
490	R474	1	Creatine Metabolism	1
491	R475	1	Creatine Metabolism	1
492	R476	1	Creatine Metabolism	1
493	R477	1	Creatine Metabolism	1
494	R478	1	Creatine Metabolism	1
495	R479	1	Creatine Metabolism	1
496	R480	1	Heme Metabolism	1
497	R481	1	Heme Metabolism	1
498	R482	1	Heme Metabolism	1
499	R483	1	Heme Metabolism	1
500	R484	1	Heme Metabolism	1
501	R485	1	Heme Metabolism	1
502	R486	1	Heme Metabolism	1
503	R487	1	Heme Metabolism	1
504	R488	1	Heme Metabolism	1
505	R489	1	Heme Metabolism	1
506	R490	1	Heme Metabolism	1
507	R491	1	Heme Metabolism	1
508	R492	1	Heme Metabolism	1
509	R493	1	Heme Metabolism	1
510	R494	1	Heme Metabolism	1
511	R495	1	Heme Metabolism	1
512	R496	1	Heme Metabolism	1
513	R497	1	Heme Metabolism	1
514	R498	1	Heme Metabolism	1
515	R499	1	Heme Metabolism	1
516	R500	1	Purine Nucleoside Metabolism	1
517	R501	1	Purine Nucleoside Metabolism	1
518	R502	1	Purine Nucleoside Metabolism	1
519	R503	1	Purine Nucleoside Metabolism	1
520	R504	1	Purine Nucleoside Metabolism	1
521	R505	1	Purine Nucleoside Metabolism	1
522	R506	1	Purine Nucleoside Metabolism	1
523	R507	1	Purine Nucleoside Metabolism	1
524	R508	1	Purine Nucleoside Metabolism	1
525	R509	1	Purine Nucleoside Metabolism	1
526	R510	1	Purine Nucleoside Metabolism	1
527	R511	1	Purine Nucleoside Metabolism	1
528	R512	1	Purine Nucleoside Metabolism	1
529	R513	1	Purine Nucleoside Metabolism	1
530	R514	1	Purine Nucleoside Metabolism	1
531	R515	1	Purine Nucleoside Metabolism	1
532	R516	1	Purine Nucleoside Metabolism	1
533	R517	1	Purine Nucleoside Metabolism	1
534	R518	1	Pirimidine Nucleoside Metabolism	1
535	R519	1	Pirimidine Nucleoside Metabolism	1
536	R520	1	Pirimidine Nucleoside Metabolism	1
537	R521	1	Pirimidine Nucleoside Metabolism	1
538	R522	1	Pirimidine Nucleoside Metabolism	1
539	R523	1	Pirimidine Nucleoside Metabolism	1
540	R524	1	Pirimidine Nucleoside Metabolism	1
541	R525	1	Pirimidine Nucleoside Metabolism	1
542	R526	1	Pirimidine Nucleoside Metabolism	1
543	R527	1	Pirimidine Nucleoside Metabolism	1
544	R528	1	Pirimidine Nucleoside Metabolism	1
545	R531	1	Pirimidine Nucleoside Metabolism	1
546	R532	1	Pirimidine Nucleoside Metabolism	1
547	R533	1	Pirimidine Nucleoside Metabolism	1
548	R534	1	Pirimidine Nucleoside Metabolism	1
549	R535	1	Pirimidine Nucleoside Metabolism	1
550	R539	1	Purine Nucleoside Metabolism	1
551	R540	1	Purine Nucleoside Metabolism	1
552	R541	1	Purine Nucleoside Metabolism	1
553	R543	1	Purine Nucleoside Metabolism	1
554	R544	1	Purine Nucleoside Metabolism	1
555	R545	1	Purine Nucleoside Metabolism	1
556	R546	1	Purine Nucleoside Metabolism	1
557	R547	1	Purine Nucleoside Metabolism	1
558	R548	1	Purine Nucleoside Metabolism	1
559	R549	1	Purine Nucleoside Metabolism	1
560	R550	1	Purine Nucleoside Metabolism	1
561	R551	1	Purine Nucleoside Metabolism	1
562	R552	1	Purine Nucleoside Metabolism	1
563	R553	1	Purine Nucleoside Metabolism	1
564	R554	1	Pirimidine Nucleoside Metabolism	1
565	R555	1	Pirimidine Nucleoside Metabolism	1
566	R556	1	Pirimidine Nucleoside Metabolism	1
567	R557	1	Pirimidine Nucleoside Metabolism	1
568	R558	1	Pirimidine Nucleoside Metabolism	1
569	R559	1	Pirimidine Nucleoside Metabolism	1
570	R560	1	Pirimidine Nucleoside Metabolism	1
571	R561	1	Pirimidine Nucleoside Metabolism	1
572	R562	1	Pirimidine Nucleoside Metabolism	1
573	R563	1	Pirimidine Nucleoside Metabolism	1
574	R564	1	Pirimidine Nucleoside Metabolism	1
575	R566	1	Pirimidine Nucleoside Metabolism	1
576	R568	1	Pirimidine Nucleoside Metabolism	1
577	R569	1	Pirimidine Nucleoside Metabolism	1
578	R570	1	Pirimidine Nucleoside Metabolism	1
579	R571	1	Pirimidine Nucleoside Metabolism	1
580	R572	1	Exchange	1
581	R573	1	Exchange	1
582	R574	1	Exchange	1
583	R577	1	Exchange	1
584	R578	1	Exchange	1
585	R579	1	Exchange	1
586	R580	1	Exchange	1
587	R581	1	Exchange	1
588	R582	1	Exchange	1
589	R583	1	Exchange	1
590	R584	1	Exchange	1
591	R586	1	Exchange	1
592	R589	1	Exchange	1
593	R590	1	Exchange	1
594	R591	1	Exchange	1
595	R593	1	Exchange	1
596	R594	1	Exchange	1
597	R595	1	Exchange	1
598	R596	1	Exchange	1
599	R597	1	Exchange	1
600	R598	1	Exchange	1
601	R599	1	Exchange	1
602	R600	1	Exchange	1
603	R601	1	Exchange	1
604	R602	1	Exchange	1
605	R603	1	Exchange	1
606	R604	1	Exchange	1
607	R605	1	Exchange	1
608	R606	1	Exchange	1
609	R607	1	Exchange	1
610	R608	1	Exchange	1
611	R609	1	Exchange	1
612	R610	1	Exchange	1
613	R611	1	Exchange	1
614	R612	1	Exchange	1
615	R613	1	Exchange	1
616	R614	1	Exchange	1
617	R615	1	Exchange	1
618	R616	1	Exchange	1
619	R617	1	Exchange	1
620	R619	1	Exchange	1
621	R620	1	Exchange	1
622	R621	1	Exchange	1
623	R623	1	Exchange	1
624	R624	1	Exchange	1
625	R625	1	Exchange	1
626	R626	1	Exchange	1
627	R627	1	Exchange	1
628	R628	1	Exchange	1
629	R629	1	Exchange	1
630	R630	1	Exchange	1
